title,artist,year_spotify,year_override,title_override,spotifyId,type,embed,cover,playlist_url
Gunfighter Ballads And Trail Songs,Marty Robbins,1959,,,3kQpBS26lAj0A0VGl1snRl,album,true,https://i.scdn.co/image/ab67616d0000b273084051346f432cc68a1279cd,https://open.spotify.com/playlist/0IpVTitmP6kb9f0Ckbhjsv?si=ceba4d8c02a24051
Bed Of Rose's,The Statler Brothers,1970,,,13eUVPkXL3pIaSMz3tghDp,album,true,https://i.scdn.co/image/ab67616d0000b273698d1ff9c15316453f7a487a,https://open.spotify.com/playlist/0IpVTitmP6kb9f0Ckbhjsv?si=ceba4d8c02a24051
Shotgun Willie,Willie Nelson,1973,,,6ja7Fceq3F7Igb2DrLKN6y,album,true,https://i.scdn.co/image/ab67616d0000b273ad9095a3b18a0b40f0f6585a,https://open.spotify.com/playlist/0IpVTitmP6kb9f0Ckbhjsv?si=ceba4d8c02a24051
